あきことに,たれかそむらむ,ぬししらぬ,からくれなゐの,ころもてのもり
やまひめの,こひのなみたや,そめつらむ,くれなゐふかき,ころもてのもり
たつたかは,ちらぬもみちの,かけみえて,くれなゐこゆる,せせのしらなみ
こけのうへに,あらしふきしく,からにしき,たたまくをしき,もりのかけかな
たむけやま,ぬさはむかしに,なりぬとも,なほちりのこれ,みねのもみちは
もみちはの,またちりはてぬ,このもとを,たのむかけとや,しかのなくらむ
たつたやま,このはふきしく,あきかせに,おちていろつく,まつのしたつゆ
もみちちる,かはせのきりの,おのれのみ,うきてなかれぬ,あきのいろかな
となせかは,もみちをかくる,しからみも,よとまぬみつに,あきそくれゆく
さをしかの,こゑよりほかも,をくらやま,ゆふひのかけに,あきそくれぬる
