けふにあけて,きのふににぬは,みなひとの,こころにはるの,たちにけらしも
ねさめにそ,さらにかそふる,わかよには,あかぬことなき,みのおもひてを
あらましの,こころにみをそ,まかせぬる,たのむかひある,みよのしるしに
こしかたの,ゆめうつつをそ,わきかぬる,おいのねふりの,さむるよなよな
みのうきか,ひとのつらきか,さりともと,おもふひかすを,とはてすきぬる
をしむへき,ひともなきよを,すてやらて,こころからこそ,みをうれへけれ
なにとまた,みのうきことを,なけくらむ,なきになしても,すてはてしよに
おもふらむ,こころになりて,みるときそ,ひとのうれへも,みにしられける
すまはやと,よそにおもひし,いにしへの,こころにはにぬ,やまのおくかな
うしとても,たれをこのよに,うらみまし,たのめはとおもふ,ひとしなけれは
ゆくすゑも,さそなうからむ,みのはてを,しらぬはかりそ,たのみなれとも
むかしより,うきよのなかと,ききしかと,けふはわかみの,ためにそありける
をしむとも,なかかるましき,いのちもて,よをとにかくに,なけくはかなさ
なににかは,おいのねさめを,なくさめむ,ききみしことを,おもひいてすは
はかなしと,おもひもはてし,ゆめちには,またあひみける,ひとのおもかけ
あはれなり,いかにわかみの,なるとても,たれかはをしみ,たれかしのはむ
あすかかは,あすともしらぬ,はかなさに,よしなかれての,よをもたのまし
いせのうみの,あまのうけなは,うけかたき,このみをまたは,しつめすもかな
うつるとき,すくるつきひを,かそへても,いつまてのみそ,さらにかなしき
ひともよも,おもへはあはれ,いくむかし,いくうつりして,いまになりけむ
なにしかも,おもひみたるる,つゆふかき,のへのをかやの,たたかりのよを
すてかねぬ,なにゆゑをしき,うきよそと,こころにちたひ,おもふものから
みのはてを,このよはかりと,しりてたに,はかなかるへき,のへのけふりを
まことふかく,おもひいつへき,とももかな,あらさらむよの,あとのなさけに
こころさし,きみにふかくて,としもへぬ,またうまれても,またやいのらむ
いかにして,こころにおもふ,ことわりを,とほすはかりも,ひとにかたらむ
あまつひの,ひかりはきよく,てらすよに,ひとのこころの,なとかくもれる
をりにふれ,ときにおほゆる,かなしさを,たくひあらしと,なかめてそふる
はるのはな,あきのもみちを,みしともの,なかははこけの,したにくちぬる
いにしへを,たれにかたりて,なくさめむ,わかことしのふ,ひとのなけれは
みしほとの,むかしをたにも,かたるへき,とももなきよに,なりにけるかな
すきてゆく,つきひをかへす,ものにあらは,こひしきかたを,またもみてまし
おもひいつる,むかしはとほく,なりはてて,まつかたちかき,みをいかにせむ
めくりあふ,あきのはつきの,はつかにも,みぬよをとへは,そてそつゆけき
みのうさは,そのよとてもと,おもへとも,なほこしかたは,こひしかりけり
しのはるる,むかしといふも,おなしよの,とほさかりゆく,なにこそありけれ
ひとりして,みるかきりをは,わすれねと,たれかはわれを,おもひいてける
よをへても,あふへかりける,ちきりこそ,こけのしたにも,くちせさりけれ
ふるきあとを,こけのしたまて,たつねすは,のこれるかきの,もとをみましや
かたはかり,そのなこりとて,ありはらの,むかしのあとを,みるもなつかし
をしからぬ,いのちもけふは,をしきかな,あらはあふよに,あひもこそすれ
われさりて,のちにしのはむ,ひとなくは,とひてかへりね,たかしまのいし
くもゐにて,ありしくもゐの,こひしきは,ふるきをしのふ,こころなりけり
こしかたを,ひとよのほとと,みるゆめは,さめてそとほき,むかしなりける
いかなれは,つらきむかしと,おもへとも,なほしのはるる,ならひなるらむ
いまさらに,かへらぬものと,しりなから,しのはすはなき,むかしなりけり
こころには,わすれすしのふ,いにしへも,かたるはかりの,おもひてそなき
むかしおもふ,たかつのみやの,あとふりて,なにはのあしに,かよふまつかせ
なさけある,むかしのひとは,あはれにて,みぬわかともと,おもはるるかな
をしむへく,かなしむへきは,よのなかに,すきてまたこぬ,つきひなりけり
いせのうみの,きよきなきさは,さもあらはあれ,われはにこれる,みつにやとらむ
しをりせて,みやまのおくの,はなをみよ,たつねいりては,おなしにほひそ
たにかはの,このはかくれの,うもれみつ,なかるるもゆく,したたるもゆく
みたたのむ,ひとはあまよの,つきなれや,くもはれねとも,にしにこそゆけ
こくらくへ,うまれむとおもふ,こころにて,なむあみたふと,いふそみこころ
いかにせむ,ひはくれかたに,なりぬれと,にしへゆくへき,ひとのなきよを
はなころも,かささきやまに,いろかへて,もみちのほらの,つきをなかめよ
ひとのこの,そこのこころの,にこれるは,おやのなかれに,すまぬとをしれ
さきにたつ,ひとのうへをは,ききみすや,むなしきそらの,けふりとそなる
なにもみな,いとはぬやまの,くさきには,あのくほたいの,はなそさくへき
やまとりの,ほろほろとなく,こゑきけは,ちちかとそおもふ,ははかとそおもふ
うゐのよは,いつらつねなる,くさのはに,むすへるつゆの,かせまつかこと
かくてしも,あるはあるにも,あらぬよも,すてむとすれは,またそかなしき
かくはかり,うけかたきみに,つもるとしの,くれやすきひの,かけそかなしき
なにしおはは,わかよはここに,つくしてむ,ほとけのみくに,ちかきわたりに
あきらけき,のりのともしひ,なかりせは,こころのやみの,いかてはれまし
めしひたる,かめのうききに,あふなれや,たまたまえたる,のりのはしふね
こきゆかむ,なみちのすゑを,おもひやれは,うきよのほかの,きしにそありける
しはのとに,あけくれかかる,しらくもを,いつむらさきの,いろにみなさむ
こしかたは,しのはるれとも,むつのみち,めくりしあとに,かへらすもかな
むつのみち,よつのちまたの,くるしみを,いつかかはりて,たすけはつへき
よにこゆる,ちかひのふねを,たのむかな,くるしきうみに,みはしつめとも
あともなき,こころにみちを,ふみかへて,まよはぬもとの,みやこをそおもふ
よよをへて,にこりにしみし,わかこころ,きよたきかはに,すすきつるかな
ひとりのみ,たつねいるさの,やまふかみ,まことのみちを,こころにそとふ
のりのため,のへしみやまの,こけむしろ,まついろいろの,はなそふりしく
ひとしれす,のりにあふひを,たのむかな,たききつきにし,あとにのこりて
ひとふさを,をりてたむくる,はなのえに,さとりひらくる,みとそなるへき
よのなかに,いてといてます,ほとけをは,たたひとことの,ためとしらなむ
をくるまの,のりのをしへを,たのますは,なほよにめくる,みとやならまし
をりしりて,みはやすひとや,まれならむ,わしのみやまの,はなのひとえた
あはれにそ,わすれさりける,いそちあまり,ひなにやつれし,すかたなれとも
